Training Expert Model on cuda...
Dataset loaded: 169 pairs found.
Epoch [1/50] Loss: 0.6911 | Acc: 57.99%
Epoch [2/50] Loss: 0.6249 | Acc: 62.72%
Epoch [3/50] Loss: 0.6329 | Acc: 60.95%
Epoch [4/50] Loss: 0.6291 | Acc: 60.95%
Epoch [5/50] Loss: 0.5982 | Acc: 65.09%
Epoch [6/50] Loss: 0.5821 | Acc: 70.41%
Epoch [7/50] Loss: 0.5722 | Acc: 68.05%
Epoch [8/50] Loss: 0.4836 | Acc: 78.70%
Epoch [9/50] Loss: 0.4634 | Acc: 80.47%
Epoch [10/50] Loss: 0.4081 | Acc: 81.66%
Epoch [11/50] Loss: 0.3847 | Acc: 84.62%
Epoch [12/50] Loss: 0.3327 | Acc: 86.39%
Epoch [13/50] Loss: 0.2831 | Acc: 88.76%
Epoch [14/50] Loss: 0.2575 | Acc: 91.12%
Epoch [15/50] Loss: 0.3044 | Acc: 89.94%
Epoch [16/50] Loss: 0.3686 | Acc: 84.62%
Epoch [17/50] Loss: 0.2968 | Acc: 88.17%
Epoch [18/50] Loss: 0.2536 | Acc: 89.94%
Epoch [19/50] Loss: 0.2122 | Acc: 90.53%
Epoch [20/50] Loss: 0.3007 | Acc: 86.98%
Epoch [21/50] Loss: 0.2623 | Acc: 89.94%
Epoch [22/50] Loss: 0.2773 | Acc: 91.12%
Epoch [23/50] Loss: 0.2417 | Acc: 94.08%
Epoch [24/50] Loss: 0.2397 | Acc: 89.35%
Epoch [25/50] Loss: 0.1604 | Acc: 94.08%
Epoch [26/50] Loss: 0.1531 | Acc: 92.90%
Epoch [27/50] Loss: 0.1356 | Acc: 94.67%
Epoch [28/50] Loss: 0.1212 | Acc: 96.45%
Epoch [29/50] Loss: 0.2096 | Acc: 91.72%
Epoch [30/50] Loss: 0.2169 | Acc: 92.90%
Epoch [31/50] Loss: 0.1520 | Acc: 94.08%
Epoch [32/50] Loss: 0.1748 | Acc: 92.31%
Epoch [33/50] Loss: 0.1342 | Acc: 96.45%
Epoch [34/50] Loss: 0.1250 | Acc: 97.63%
Epoch [35/50] Loss: 0.1105 | Acc: 95.86%
Epoch [36/50] Loss: 0.1045 | Acc: 96.45%
Epoch [37/50] Loss: 0.1356 | Acc: 94.08%
Epoch [38/50] Loss: 0.0682 | Acc: 98.22%
Epoch [39/50] Loss: 0.0755 | Acc: 98.82%
Epoch [40/50] Loss: 0.0921 | Acc: 98.82%
Epoch [41/50] Loss: 0.1182 | Acc: 94.67%
Epoch [42/50] Loss: 0.0986 | Acc: 96.45%
Epoch [43/50] Loss: 0.1365 | Acc: 95.27%
Epoch [44/50] Loss: 0.1036 | Acc: 97.04%
Epoch [45/50] Loss: 0.0609 | Acc: 98.82%
Epoch [46/50] Loss: 0.0474 | Acc: 98.22%
Epoch [47/50] Loss: 0.1432 | Acc: 93.49%
Epoch [48/50] Loss: 0.2084 | Acc: 91.12%
Epoch [49/50] Loss: 0.1375 | Acc: 95.27%
Epoch [50/50] Loss: 0.0479 | Acc: 99.41%
Đã lưu model expert tại: expert/expert_checkpoint.pth
